Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.40,  169.90, 679.58,      0.125,    0.24,  139.81,1118.48,     0.250,    0.18,  362.75,1451.00
            0,      0.250,    0.40,  169.47, 677.87,      0.125,    0.24,  136.96,1095.65,     0.250,    0.21,  325.77,1303.08
            1,      0.750,    0.25,  811.80,1082.40,      0.375,    0.23,  443.45,1182.54,     0.750,    0.22,  927.77,1237.03
            1,      0.750,    0.23,  864.06,1152.08,      0.375,    0.22,  449.39,1198.37,     0.750,    0.23,  894.78,1193.05
            2,      1.250,    0.23, 1433.95,1147.16,      0.625,    0.23,  735.84,1177.35,     1.250,    0.20, 1661.11,1328.89
            2,      1.250,    0.22, 1504.68,1203.75,      0.625,    0.23,  729.44,1167.11,     1.250,    0.20, 1711.96,1369.57
            3,      1.750,    0.23, 2078.59,1187.77,      0.875,    0.22, 1053.28,1203.75,     1.750,    0.19, 2434.00,1390.86
            4,      2.250,    0.21, 2848.96,1266.20,      1.125,    0.23, 1336.24,1187.77,     2.250,    0.20, 3081.53,1369.57
            6,      3.250,    0.23, 3712.41,1142.28,      1.625,    0.25, 1730.98,1065.22,     3.250,    0.21, 4174.24,1284.38
            8,      4.250,    0.25, 4563.40,1073.74,      2.125,    0.24, 2406.86,1132.64,     4.250,    0.20, 5619.95,1322.34
            3,      1.750,    0.25, 1871.56,1069.46,      0.875,    0.30,  785.56, 897.78,     1.750,    0.22, 2116.05,1209.17
           12,      6.250,    0.26, 6355.01,1016.80,      3.125,    0.25, 3342.07,1069.46,     6.250,    0.24, 7078.99,1132.64
            4,      2.250,    0.26, 2368.55,1052.69,      1.125,    0.25, 1198.37,1065.22,     2.250,    0.21, 2835.59,1260.26
           16,      8.250,    0.28, 7937.61, 962.13,      4.125,    0.29, 3766.31, 913.05,     8.250,    0.28, 7994.92, 969.08
            6,      3.250,    0.25, 3461.97,1065.22,      1.625,    0.24, 1780.44,1095.65,     3.250,    0.22, 3947.58,1214.64
           20,     10.250,    0.31, 8904.41, 868.72,      5.125,    0.30, 4555.40, 888.86,    10.250,    0.34, 8188.88, 798.92
            8,      4.250,    0.27, 4272.85,1005.38,      2.125,    0.24, 2386.72,1123.16,     4.250,    0.21, 5406.88,1272.21
           24,     12.250,    0.36, 9083.80, 741.53,      6.125,    0.36, 4541.90, 741.53,    12.250,    0.40, 8220.84, 671.09
           12,      6.250,    0.27, 6145.50, 983.28,      3.125,    0.27, 3118.44, 997.90,     6.250,    0.28, 5991.86, 958.70
           28,     14.250,    0.40, 9491.82, 666.09,      7.125,    0.40, 4793.49, 672.77,    14.250,    0.47, 8226.25, 577.28
           16,      8.250,    0.28, 7770.50, 941.88,      4.125,    0.29, 3818.26, 925.64,     8.250,    0.28, 7937.61, 962.13
           32,     16.250,    0.46, 9545.02, 587.39,      8.125,    0.44, 4912.25, 604.58,    16.250,    0.51, 8486.53, 522.25
           20,     10.250,    0.31, 8875.69, 865.92,      5.125,    0.31, 4437.84, 865.92,    10.250,    0.34, 8213.32, 801.30
           24,     12.250,    0.36, 9108.96, 743.59,      6.125,    0.36, 4554.48, 743.59,    12.250,    0.39, 8367.26, 683.04
           40,     20.250,    0.54,10103.75, 498.95,     10.125,    0.54, 5051.88, 498.95,    20.250,    0.64, 8480.22, 418.78
           28,     14.250,    0.39, 9884.25, 693.63,      7.125,    0.39, 4942.13, 693.63,    14.250,    0.46, 8333.78, 584.83
           48,     24.250,    0.64,10155.32, 418.78,     12.125,    0.65, 5007.35, 412.98,    24.250,    0.77, 8475.99, 349.53
           32,     16.250,    0.45, 9650.61, 593.88,      8.125,    0.45, 4846.75, 596.52,    16.250,    0.52, 8470.05, 521.23
           56,     28.250,    0.72,10459.73, 370.26,     14.125,    0.74, 5130.79, 363.24,    28.250,    0.90, 8388.61, 296.94
           40,     20.250,    0.54,10066.33, 497.10,     10.125,    0.55, 4968.76, 490.74,    20.250,    0.64, 8467.01, 418.12
           48,     24.250,    0.64,10251.28, 422.73,     12.125,    0.64, 5117.58, 422.07,    24.250,    0.77, 8464.97, 349.07
           64,     32.250,    0.85,10172.79, 315.44,     16.125,    0.85, 5110.42, 316.92,    32.250,    1.03, 8404.90, 260.62
           56,     28.250,    0.73,10445.32, 369.75,     14.125,    0.73, 5194.04, 367.72,    28.250,    0.90, 8444.66, 298.93
           80,     40.250,    1.04,10349.16, 257.12,     20.125,    1.05, 5120.63, 254.44,    40.250,    1.30, 8323.98, 206.81
           64,     32.250,    0.84,10281.52, 318.81,     16.125,    0.84, 5134.66, 318.43,    32.250,    1.03, 8396.74, 260.36
           80,     40.250,    1.05,10241.26, 254.44,     20.125,    1.03, 5229.68, 259.86,    40.250,    1.29, 8349.71, 207.45
          104,     52.250,    1.40,10018.39, 191.74,     26.125,    1.40, 5023.55, 192.29,    52.250,    1.70, 8245.59, 157.81
          104,     52.250,    1.37,10245.25, 196.08,     26.125,    1.41, 4987.82, 190.92,    52.250,    1.69, 8304.18, 158.93
          120,     60.250,    1.61,10026.80, 166.42,     30.125,    1.66, 4862.67, 161.42,    60.250,    1.97, 8222.29, 136.47
          120,     60.250,    1.63, 9922.23, 164.68,     30.125,    1.71, 4731.78, 157.07,    60.250,    1.95, 8293.97, 137.66
          128,     64.250,    1.72,10056.55, 156.52,     32.125,    1.72, 5013.66, 156.07,    64.250,    2.09, 8240.31, 128.25
          128,     64.250,    1.71,10109.60, 157.35,     32.125,    1.70, 5072.64, 157.90,    64.250,    2.11, 8158.46, 126.98
          160,     80.250,    2.16, 9991.63, 124.51,     40.125,    2.13, 5059.17, 126.09,    80.250,    2.68, 8038.04, 100.16
          160,     80.250,    2.13,10123.09, 126.14,     40.125,    2.16, 4986.56, 124.28,    80.250,    2.68, 8050.05, 100.31
          192,     96.250,    2.81, 9194.63,  95.53,     48.125,    2.65, 4884.10, 101.49,    96.250,    3.26, 7932.73,  82.42
          192,     96.250,    2.65, 9749.78, 101.30,     48.125,    2.58, 5011.04, 104.13,    96.250,    3.22, 8028.87,  83.42
          256,    128.250,    3.55, 9703.17,  75.66,     64.125,    3.60, 4781.51,  74.57,   128.250,    4.37, 7887.02,  61.50
          256,    128.250,    3.47, 9929.87,  77.43,     64.125,    3.57, 4823.04,  75.21,   128.250,    4.35, 7917.86,  61.74
          320,    160.250,    4.67, 9219.20,  57.53,     80.125,    4.56, 4718.82,  58.89,   160.250,    5.40, 7967.55,  49.72
          320,    160.250,    4.43, 9705.95,  60.57,     80.125,    4.40, 4886.05,  60.98,   160.250,    5.39, 7973.45,  49.76
          512,    256.250,    7.68, 8953.09,  34.94,    128.125,    7.65, 4495.86,  35.09,   256.250,    8.72, 7886.56,  30.78
          512,    256.250,    7.56, 9093.94,  35.49,    128.125,    7.17, 4796.16,  37.43,   256.250,    8.75, 7862.22,  30.68
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.40,  169.04, 676.16,      0.125,    0.24,  139.81,1118.48,     0.250,    0.18,  377.02,1508.06
            0,      0.250,    0.39,  170.33, 681.31,      0.125,    0.25,  135.85,1086.78,     0.250,    0.20,  327.36,1309.44
            1,      0.750,    0.24,  853.08,1137.44,      0.375,    0.23,  445.41,1187.77,     0.750,    0.21,  972.59,1296.79
            2,      1.250,    0.23, 1471.69,1177.35,      0.625,    0.22,  762.60,1220.16,     1.250,    0.19, 1784.81,1427.85
            1,      0.750,    0.24,  828.50,1104.67,      0.375,    0.25,  407.54,1086.78,     0.750,    0.21,  963.29,1284.38
            3,      1.750,    0.22, 2154.87,1231.36,      0.875,    0.22, 1072.52,1225.73,     1.750,    0.19, 2498.73,1427.85
            2,      1.250,    0.24, 1380.84,1104.67,      0.625,    0.23,  716.98,1147.16,     1.250,    0.20, 1661.11,1328.89
            4,      2.250,    0.22, 2745.36,1220.16,      1.125,    0.22, 1378.95,1225.73,     2.250,    0.18, 3282.50,1458.89
            3,      1.750,    0.24, 1990.52,1137.44,      0.875,    0.23, 1034.72,1182.54,     1.750,    0.20, 2325.55,1328.89
            6,      3.250,    0.21, 4174.24,1284.38,      1.625,    0.23, 1864.14,1147.16,     3.250,    0.20, 4473.92,1376.59
            8,      4.250,    0.24, 4656.53,1095.65,      2.125,    0.23, 2469.37,1162.06,     4.250,    0.20, 5675.87,1335.50
            4,      2.250,    0.23, 2637.47,1172.21,      1.125,    0.23, 1301.68,1157.05,     2.250,    0.20, 2946.24,1309.44
           12,      6.250,    0.26, 6379.17,1020.67,      3.125,    0.26, 3264.05,1044.50,     6.250,    0.23, 7262.86,1162.06
            6,      3.250,    0.24, 3650.27,1123.16,      1.625,    0.24, 1787.74,1100.15,     3.250,    0.21, 4214.57,1296.79
           16,      8.250,    0.28, 7825.42, 948.54,      4.125,    0.29, 3779.17, 916.16,     8.250,    0.27, 8171.93, 990.54
           20,     10.250,    0.32, 8571.54, 836.25,      5.125,    0.31, 4395.31, 857.62,    10.250,    0.33, 8237.91, 803.70
            8,      4.250,    0.27, 4288.91,1009.16,      2.125,    0.27, 2128.45,1001.62,     4.250,    0.22, 5233.26,1231.36
           24,     12.250,    0.36, 9134.26, 745.65,      6.125,    0.37, 4492.26, 733.43,    12.250,    0.39, 8346.03, 681.31
           12,      6.250,    0.28, 6056.76, 969.08,      3.125,    0.28, 2974.68, 951.90,     6.250,    0.25, 6765.01,1082.40
           16,      8.250,    0.29, 7584.22, 919.30,      4.125,    0.30, 3630.48, 880.12,     8.250,    0.30, 7308.89, 885.93
           28,     14.250,    0.39, 9758.18, 684.78,      7.125,    0.39, 4891.57, 686.54,    14.250,    0.47, 8226.25, 577.28
           20,     10.250,    0.32, 8544.92, 833.65,      5.125,    0.31, 4423.57, 863.14,    10.250,    0.34, 8140.42, 794.19
           32,     16.250,    0.45, 9672.01, 595.20,      8.125,    0.45, 4825.31, 593.88,    16.250,    0.52, 8437.28, 519.22
           24,     12.250,    0.38, 8630.80, 704.56,      6.125,    0.36, 4529.39, 739.49,    12.250,    0.40, 8179.94, 667.75
           40,     20.250,    0.55, 9955.71, 491.64,     10.125,    0.55, 4986.99, 492.54,    20.250,    0.65, 8414.58, 415.53
           28,     14.250,    0.40, 9491.82, 666.09,      7.125,    0.40, 4829.80, 677.87,    14.250,    0.47, 8191.02, 574.81
           48,     24.250,    0.64,10187.10, 420.09,     12.125,    0.63, 5141.83, 424.07,    24.250,    0.77, 8453.97, 348.62
           56,     28.250,    0.74,10192.61, 360.80,     14.125,    0.73, 5201.17, 368.22,    28.250,    0.90, 8388.61, 296.94
           32,     16.250,    0.45, 9736.78, 599.19,      8.125,    0.45, 4846.75, 596.52,    16.250,    0.52, 8388.61, 516.22
           40,     20.250,    0.55, 9955.71, 491.64,     10.125,    0.54, 5070.73, 500.81,    20.250,    0.65, 8427.62, 416.18
           64,     32.250,    0.86,10042.97, 311.41,     16.125,    0.84, 5128.58, 318.05,    32.250,    1.03, 8388.61, 260.11
           48,     24.250,    0.64,10219.09, 421.41,     12.125,    0.64, 5125.64, 422.73,    24.250,    0.78, 8388.61, 345.92
           80,     40.250,    1.04,10388.97, 258.11,     20.125,    1.06, 5082.09, 252.53,    40.250,    1.29, 8343.26, 207.29
           56,     28.250,    0.76,10004.36, 354.14,     14.125,    0.74, 5137.74, 363.73,    28.250,    0.90, 8425.89, 298.26
          104,     52.250,    1.36,10305.48, 197.23,     26.125,    1.42, 4949.10, 189.44,    52.250,    1.69, 8289.45, 158.65
           64,     32.250,    0.84,10281.52, 318.81,     16.125,    0.85, 5110.42, 316.92,    32.250,    1.03, 8364.29, 259.36
           80,     40.250,    1.04,10359.09, 257.37,     20.125,    1.04, 5214.54, 259.11,    40.250,    1.30, 8330.40, 206.97
          120,     60.250,    1.61,10039.25, 166.63,     30.125,    1.62, 4991.74, 165.70,    60.250,    1.95, 8293.97, 137.66
          104,     52.250,    1.37,10252.74, 196.22,     26.125,    1.37, 5130.12, 196.37,    52.250,    1.70, 8250.44, 157.90
          128,     64.250,    1.74, 9895.00, 154.01,     32.125,    1.75, 4927.71, 153.39,    64.250,    2.08, 8279.87, 128.87
          120,     60.250,    1.61,10070.51, 167.15,     30.125,    1.62, 5004.10, 166.11,    60.250,    1.96, 8234.85, 136.68
          160,     80.250,    2.19, 9845.50, 122.69,     40.125,    2.11, 5114.42, 127.46,    80.250,    2.75, 7833.43,  97.61
          128,     64.250,    1.71,10097.76, 157.16,     32.125,    1.71, 5057.76, 157.44,    64.250,    2.10, 8224.60, 128.01
          192,     96.250,    2.69, 9594.10,  99.68,     48.125,    2.61, 4943.92, 102.73,    96.250,    3.25, 7940.05,  82.49
          160,     80.250,    2.12,10166.09, 126.68,     40.125,    2.15, 5019.09, 125.09,    80.250,    2.71, 7957.87,  99.16
          256,    128.250,    3.53, 9741.61,  75.96,     64.125,    3.53, 4877.71,  76.07,   128.250,    4.29, 8026.78,  62.59
          192,     96.250,    2.76, 9347.65,  97.12,     48.125,    2.67, 4836.56, 100.50,    96.250,    3.26, 7927.87,  82.37
          256,    128.250,    3.42,10054.57,  78.40,     64.125,    3.45, 4985.06,  77.74,   128.250,    4.27, 8066.27,  62.89
          320,    160.250,    4.71, 9125.32,  56.94,     80.125,    4.43, 4849.69,  60.53,   160.250,    5.35, 8037.52,  50.16
          320,    160.250,    4.36, 9870.76,  61.60,     80.125,    4.40, 4889.38,  61.02,   160.250,    5.52, 7791.48,  48.62
          512,    256.250,    7.71, 8927.53,  34.84,    128.125,    7.56, 4549.98,  35.51,   256.250,    8.60, 7994.72,  31.20
          512,    256.250,    7.58, 9068.77,  35.39,    128.125,    7.49, 4593.12,  35.85,   256.250,    8.78, 7838.03,  30.59
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.37,  183.36, 733.43,      0.125,    0.24,  138.65,1109.24,     0.250,    0.19,  351.36,1405.42
            1,      0.750,    0.24,  825.11,1100.15,      0.375,    0.21,  468.20,1248.54,     0.750,    0.20,  986.90,1315.86
            2,      1.250,    0.22, 1518.30,1214.64,      0.625,    0.21,  780.34,1248.54,     1.250,    0.19, 1747.63,1398.10
            0,      0.250,    0.38,  176.60, 706.41,      0.125,    0.28,  119.41, 955.29,     0.250,    0.22,  303.66,1214.64
            3,      1.750,    0.22, 2174.82,1242.76,      0.875,    0.21, 1102.73,1260.26,     1.750,    0.19, 2472.43,1412.82
            4,      2.250,    0.20, 2975.27,1322.34,      1.125,    0.20, 1495.00,1328.89,     2.250,    0.18, 3264.76,1451.00
            1,      0.750,    0.24,  828.50,1104.67,      0.375,    0.24,  422.96,1127.88,     0.750,    0.21,  949.65,1266.20
            6,      3.250,    0.22, 3947.58,1214.64,      1.625,    0.21, 2077.18,1278.26,     3.250,    0.19, 4543.83,1398.10
            2,      1.250,    0.24, 1369.57,1095.65,      0.625,    0.23,  713.92,1142.28,     1.250,    0.20, 1644.83,1315.86
            8,      4.250,    0.24, 4813.72,1132.64,      2.125,    0.23, 2427.34,1142.28,     4.250,    0.19, 6036.25,1420.29
            3,      1.750,    0.24, 1973.79,1127.88,      0.875,    0.23, 1043.92,1193.05,     1.750,    0.20, 2348.81,1342.18
           12,      6.250,    0.28, 6056.76, 969.08,      3.125,    0.25, 3396.20,1086.78,     6.250,    0.22, 7489.83,1198.37
            4,      2.250,    0.22, 2696.34,1198.37,      1.125,    0.21, 1404.60,1248.54,     2.250,    0.21, 2917.78,1296.79
           16,      8.250,    0.28, 7853.16, 951.90,      4.125,    0.28, 3983.08, 965.60,     8.250,    0.27, 8082.45, 979.69
           20,     10.250,    0.31, 8818.79, 860.37,      5.125,    0.30, 4601.11, 897.78,    10.250,    0.33, 8287.54, 808.54
            6,      3.250,    0.24, 3696.67,1137.44,      1.625,    0.22, 1956.09,1203.75,     3.250,    0.19, 4520.29,1390.86
           24,     12.250,    0.36, 9159.71, 747.73,      6.125,    0.36, 4567.13, 745.65,    12.250,    0.40, 8282.96, 676.16
            8,      4.250,    0.27, 4209.78, 990.54,      2.125,    0.24, 2328.27,1095.65,     4.250,    0.19, 5911.14,1390.86
           12,      6.250,    0.27, 6260.16,1001.62,      3.125,    0.27, 3165.51,1012.96,     6.250,    0.24, 7078.99,1132.64
           28,     14.250,    0.39, 9808.22, 688.30,      7.125,    0.40, 4769.58, 669.42,    14.250,    0.49, 7838.54, 550.07
           32,     16.250,    0.45, 9758.56, 600.53,      8.125,    0.46, 4751.72, 584.83,    16.250,    0.52, 8470.05, 521.23
           16,      8.250,    0.31, 7075.38, 857.62,      4.125,    0.28, 3926.58, 951.90,     8.250,    0.28, 7797.86, 945.20
           40,     20.250,    0.54,10085.01, 498.02,     10.125,    0.54, 5014.59, 495.27,    20.250,    0.64, 8493.47, 419.43
           20,     10.250,    0.31, 8933.32, 871.54,      5.125,    0.31, 4466.66, 871.54,    10.250,    0.34, 8092.54, 789.52
           48,     24.250,    0.64,10123.73, 417.47,     12.125,    0.63, 5174.53, 426.77,    24.250,    0.78, 8345.59, 344.15
