,i-041ee13e073c7b252,i-0a3c775d464a9bd97,i-0c7043af8b1478720,i-04165f6c97863ab36,i-02a455e045773030a,i-0c91fc83de2539c81,i-0bddd96e9e287228c,i-035231f0971d04f12,i-05acf16a80a606b1b,i-0ffc068e65237b948,i-0f16be987e2ca34d0,i-0bbf07b41314ed043,i-06d0f5889bd59cd86,i-05fe308b6795d266c,i-098472b6d33e137c6,i-03537a30d7b493152,i-08b7886f984e1a628,i-00cd449152ddbf700,i-0f91965bebfafd079,i-0491061dcbfda70ea,i-0eee634cfc6a71730,i-07ebd750fad94e759,i-0a1d9ac10be9c2a4c,i-07a35eb8924206ca1,i-01ca1e9d606835015,i-0ffbd0121015dc921,i-0077c85382516fc91,i-02f856aa59a88d68a,i-0b5128befd85d68ab,i-0321c718a95ab6ef8,i-0edc6efc9669d34c3,i-08113315fc23e3fc8
i-041ee13e073c7b252,0,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-0a3c775d464a9bd97,4,0,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4
i-0c7043af8b1478720,4,2,0,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4
i-04165f6c97863ab36,2,4,4,0,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-02a455e045773030a,4,4,4,4,0,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,4,4,4
i-0c91fc83de2539c81,2,4,4,2,4,0,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-0bddd96e9e287228c,4,4,4,4,2,4,0,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,4,4,4
i-035231f0971d04f12,2,4,4,2,4,2,4,0,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-05acf16a80a606b1b,2,4,4,2,4,2,4,2,0,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-0ffc068e65237b948,2,4,4,2,4,2,4,2,2,0,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-0f16be987e2ca34d0,2,4,4,2,4,2,4,2,2,2,0,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-0bbf07b41314ed043,4,2,2,4,4,4,4,4,4,4,4,0,4,4,4,2,4,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4
i-06d0f5889bd59cd86,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4
i-05fe308b6795d266c,2,4,4,2,4,2,4,2,2,2,2,4,4,0,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-098472b6d33e137c6,2,4,4,2,4,2,4,2,2,2,2,4,4,2,0,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-03537a30d7b493152,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,0,4,2,4,4,2,4,2,4,2,4,2,4,4,4,4,4
i-08b7886f984e1a628,2,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,0,4,4,4,4,4,4,2,4,4,4,4,2,4,2,2
i-00cd449152ddbf700,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,0,4,4,2,4,2,4,2,4,2,4,4,4,4,4
i-0f91965bebfafd079,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4
i-0491061dcbfda70ea,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,0,4,2,4,4,4,2,4,4,4,4,4,4
i-0eee634cfc6a71730,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,0,4,2,4,2,4,2,4,4,4,4,4
i-07ebd750fad94e759,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,0,4,4,4,2,4,4,4,4,4,4
i-0a1d9ac10be9c2a4c,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,0,4,2,4,2,4,4,4,4,4
i-07a35eb8924206ca1,2,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,0,4,4,4,4,2,4,2,2
i-01ca1e9d606835015,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,0,4,2,4,4,4,4,4
i-0ffbd0121015dc921,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,0,4,4,4,4,4,4
i-0077c85382516fc91,4,2,2,4,4,4,4,4,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,4,0,4,4,4,4,4
i-02f856aa59a88d68a,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,2,4,4
i-0b5128befd85d68ab,2,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,0,4,2,2
i-0321c718a95ab6ef8,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,0,4,4
i-0edc6efc9669d34c3,2,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,0,2
i-08113315fc23e3fc8,2,4,4,2,4,2,4,2,2,2,2,4,4,2,2,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,0
